"","loglik","p1","p2","larv","pup","mu.p","S","mud.p","pupae.zero"
"1",2328.54319595259,0.202849371708905,0.0366543499589508,0.125,0.0333333333333333,0.0025,4,0,50
"2",2319.95098952492,0.231069622047951,0.031341528103659,0.1,0.0333333333333333,0.0025,4,0,50
"3",2356.1558328119,0.233158698326929,0.0249950619783928,0.0833333333333333,0.0333333333333333,0.0025,4,0,50
"4",2287.22801059492,0.157070600813102,0.018476089373686,0.125,0.0222222222222222,0.0025,4,0,50
"5",2223.48921076149,0.200789199443715,0.0223327169049778,0.1,0.0222222222222222,0.0025,4,0,50
"6",2216.20586193921,0.22327330926093,0.0202359757261691,0.0833333333333333,0.0222222222222222,0.0025,4,0,50
"7",2235.18129644406,0.157332180761013,0.0168716553758866,0.125,0.02,0.0025,4,0,50
"8",2189.42674995977,0.20158028646478,0.0212638518138101,0.1,0.02,0.0025,4,0,50
"9",2201.27467384343,0.212509655044018,0.0174885393769109,0.0833333333333333,0.02,0.0025,4,0,50
"10",2548.04550149039,0.174748916792243,0.0257991201968224,0.125,0.0333333333333333,0.006,4,0,50
"11",2345.80010548514,0.257353249601922,0.0311055817163416,0.1,0.0333333333333333,0.006,4,0,50
"12",2343.2366324133,0.265778386692384,0.0255139282395627,0.0833333333333333,0.0333333333333333,0.006,4,0,50
"13",2582.76192272278,0.137152510434357,0.00427304103505337,0.125,0.0222222222222222,0.006,4,0,50
"14",2271.23721173802,0.21540281549452,0.0208988003183342,0.1,0.0222222222222222,0.006,4,0,50
"15",2297.27292984879,0.230861398642303,0.0179693541016133,0.0833333333333333,0.0222222222222222,0.006,4,0,50
"16",2258.22451711402,0.197802616961586,0.024035376145945,0.125,0.02,0.006,4,0,50
"17",2253.41031382162,0.222091045023833,0.0208150246280747,0.1,0.02,0.006,4,0,50
"18",2252.35962176856,0.228373717194761,0.0165148495375107,0.0833333333333333,0.02,0.006,4,0,50
"19",2367.74170612053,0.246735905712487,0.0351833738784168,0.125,0.0333333333333333,0.01,4,0,50
"20",2370.93743985613,0.268197224507888,0.028487547447315,0.1,0.0333333333333333,0.01,4,0,50
"21",2595.63167033794,0.220178998407665,0.0177521710364717,0.0833333333333333,0.0333333333333333,0.01,4,0,50
"22",2318.63984323884,0.231556650828797,0.0272005917391901,0.125,0.0222222222222222,0.01,4,0,50
"23",2324.82231852576,0.259081981023509,0.0229318593119753,0.1,0.0222222222222222,0.01,4,0,50
"24",2393.43614577644,0.232792296945946,0.0151597018466977,0.0833333333333333,0.0222222222222222,0.01,4,0,50
"25",2313.79155083541,0.220933741710166,0.0235928345710921,0.125,0.02,0.01,4,0,50
"26",2302.95193828462,0.249076903042239,0.0205076488033791,0.1,0.02,0.01,4,0,50
"27",2363.5482535878,0.236897617887329,0.0144613715030926,0.0833333333333333,0.02,0.01,4,0,50
"28",2577.294372536,0.0618651680358669,0.000191933364177612,0.125,0.0333333333333333,0.0025,6,0,50
"29",2248.87594523761,0.123038773208436,0.028696579797204,0.1,0.0333333333333333,0.0025,6,0,50
"30",2316.97468299231,0.116674978548538,0.0201167850591836,0.0833333333333333,0.0333333333333333,0.0025,6,0,50
"31",2226.90879743684,0.0691788486038795,0.00395235634860923,0.125,0.0222222222222222,0.0025,6,0,50
"32",2190.62002755774,0.0949668501213568,0.0140034036064576,0.1,0.0222222222222222,0.0025,6,0,50
"33",2160.38375231689,0.117391050067413,0.016989468654711,0.0833333333333333,0.0222222222222222,0.0025,6,0,50
"34",2155.46339395474,0.0804394099080921,0.0122102019060703,0.125,0.02,0.0025,6,0,50
"35",2144.38258515629,0.103483948858438,0.0169088723897235,0.1,0.02,0.0025,6,0,50
"36",2140.54844529464,0.107717299652888,0.0128915425359583,0.0833333333333333,0.02,0.0025,6,0,50
"37",2275.96276824469,0.125460919044198,0.0351934917746671,0.125,0.0333333333333333,0.006,6,0,50
"38",2273.12279538481,0.136712789983429,0.0285268512429727,0.1,0.0333333333333333,0.006,6,0,50
"39",2278.66254468883,0.151636609307432,0.0247437743569613,0.0833333333333333,0.0333333333333333,0.006,6,0,50
"40",2223.6980294179,0.107575872588503,0.0238147451956457,0.125,0.0222222222222222,0.006,6,0,50
"41",2212.86049571301,0.115256695180144,0.0184228329757748,0.1,0.0222222222222222,0.006,6,0,50
"42",2217.31816945747,0.131678935223376,0.0173896408750736,0.0833333333333333,0.0222222222222222,0.006,6,0,50
"43",2201.29240644368,0.0988986388088723,0.018481745870087,0.125,0.02,0.006,6,0,50
"44",2197.50676320685,0.119288236857556,0.0183454285134093,0.1,0.02,0.006,6,0,50
"45",2196.29973342793,0.122465424321207,0.0140152498181247,0.0833333333333333,0.02,0.006,6,0,50
"46",2319.6854433282,0.127161171699219,0.0315772832279399,0.125,0.0333333333333333,0.01,6,0,50
"47",2306.27652405264,0.153462723637909,0.0280149528514013,0.1,0.0333333333333333,0.01,6,0,50
"48",2317.78195411744,0.163685509205906,0.023351529195636,0.0833333333333333,0.0333333333333333,0.01,6,0,50
